Дата начала,Дата окончания,Ранг,Город проведения,Название клуба,Федерация,Контакты,E-mail,Телефон,reviews,собак на выставке,Когда должны сдать отчет,Когда прислали отчет,"ринговые ведомости, каталог",Фотоотчет?,Проблема?,Задержка?,Одобрено Светланой,Взнос за обработку выставки,Перечислено Светлане,contacts,,,,
02.02.2020,02.02.2020,КЧК,Новосибирск,"НОВОСИБИРСКИЙ ГОРОДСКОЙ КЛУБ
СОБАКОВОДСТВА ""СЕНАТ""",РФСС,"ngks-senat@yandex.ru; 89137905152, 89134603654",ngks-senat@yandex.ru," 89137905152, 89134603654",,19,23.02.2020,11.02.2020,полный,полный,"В каталоге у малых не отмечен BOB и BOS. У цвергов в ведомости не отмечен ЛЮ, в каталоге не присуждена ЛС. Фото - кеесы и малые понятно, цверги не все, а те что есть невозможно опознать, не видно номеров.",,,300,,,,,,
08.02.2020,09.02.2020,КЧК,Москва,"МКОО ""НОРД""",РФЛС,nord-vystavka@yandex.ru; 89037464907,nord-vystavka@yandex.ru,89037464907,,14,01.03.2020,03.03.2020,полный,"НЕполный, только победители","Мало собак - 14! Призы очень скромные. По бэстам нет информации вообще, похоже не проводили!",,,,,,,,,
15.02.2020,16.02.2020,КЧК,Новосибирск,"НГООЛС КЛУБ ""АКТИОН""",ОАНКОО,angelhranitel@bk.ru; 89529127613,angelhranitel@bk.ru,89529127613,,26,08.03.2020,22.02.2020,полный,полный,"В бэстах записано по одной собаке!? Замечательные призы у первых мест в классах (лежаки, кроватки для мелких шпицев). Отчёт аккуратный, единственно забыли вписать в ведомость ЛПП цвергов)",,,300,,,,,,
15.02.2020,16.02.2020,КЧК,Новосибирск,"НГОО ""КЛУБ СОБАКОВОДОВ ""ЛОРАНС""",РФСС,"3423447@mail.ru; 89050945538, 83833442775",3423447@mail.ru," 89050945538, 83833442775",,16,08.03.2020,26.02.2020,полный,"нет
январь",Нет отчёта!,,,,,,,,,
15.02.2020,16.02.2020,КЧК,Тольятти,"ТГОО КЛУБ СОБАКОВОДСТВА ""ЛАДА""",ОАНКОО,sarbonaprogress@mail.ru; 89023730370,sarbonaprogress@mail.ru,89023730370,Поделили цвергов!,28,08.03.2020,27.02.2020,"НЕполный, нет ведомостей",НЕполный,"Вызывает вопрос №23 - по фото эта собака отсутствовала, в каталоге стоит Отлично. В каталоге не отмечена расстановка. Призы - чуть больше, чем стандарт) ",,,300,,,,,,
22.02.2020,23.02.2020,КЧК,Воронеж,"ВРОО КСОДП ""ФЕНИКС""",ОАНКОО,fenix-dogs@yandex.ru; 89204267028,fenix-dogs@yandex.ru,89204267028,,19,15.03.2020,27.03.2020,полный,"НЕполный, только победители",Претензии только к фотоотчёту.,,,,,,,,,
22.02.2020,22.02.2020,КЧК В КАЖДОМ КЛАССЕ,Екатеринбург,"СООО ""ЕКК ""ВИННЕР""",РФСС,dobryduh2006@yandex.ru; 89222989785,dobryduh2006@yandex.ru,89222989785,,50,14.03.2020,29.02.2020,полный,полный,КЧК в каждом классе включает и класс ЧНКП? Чемпиону НКП дали КЧК - №13! Зато нигде не выбран ЛК и ЛС. №26 одновременно и Лю и BOB и BOS)) Не отмечена расстановка в классах. №50 ВОВ?,,,300,,,,,,
29.02.2020,01.03.2020,КЧК,Иваново,"ИООО ПКЦ ""ДЕР ХУНД""",ОАНКОО,rba-svetlana@yandex.ru; 89158460223,rba-svetlana@yandex.ru,89158460223,,13,22.03.2020,17.03.2020,полный,"полный, нет только №2","Мало собак. Не очень аккуратно заполнены ведомости. Призы специально не фоткали, непонятно как с ними)",,,,,,,,,
29.02.2020,29.02.2020,КЧК,Котлас,"РОО ""КИНОЛОГИЧЕСКИЙ ЦЕНТР ""ТРИУМФ""",РФСС,centr.triumf@yandex.ru; 89212983203,centr.triumf@yandex.ru,89212983203,,15,21.03.2020,,полный,"Полный,  выложен в вК, очень подробный)","Состав: 7 малых (1неявка) и 8 цвергов. Все отличники (Островская). В ведомости цвергов не проставлен вет-кчк, юкчк стоят в графе ючк) Очень красивые призы и награды!",,,,,,,,,
01.03.2020,01.03.2020,КЧК,Саранск,"ООМРКЛСК ""ЗООЦЕНТР""",ОАНКОО,zoocentr-rm@mail.ru; 89026687987,zoocentr-rm@mail.ru,89026687987,,26,22.03.2020,23.03.2020,полный,"полный. Фото подписаны, а номеров не видно.",Эксперт Краковская. В ведомости номеру 6 написали ючк вместо юкчк) В остальном отчёт норм.,,,,,,,,,
01.03.2020,01.03.2020,КЧК,Саранск,"ООМРКЛСК ""ЗООЦЕНТР""",ОАНКОО,zoocentr-rm@mail.ru; 89026687987,zoocentr-rm@mail.ru,89026687987,,23,22.03.2020,23.03.2020,полный,"неполный, не видно номеров. Фото подписаны, т.е. старались как могли)",Эксперт Заур Агабейли.  В ведомостях не дописали ветКЧК. В остальном отчёт норм.,,,,,,,,,
07.03.2020,08.03.2020,КЧК,Рыбинск,"ООРЯО ""КЛУБ ЛЮБИТЕЛЕЙ
СОБАКОВОДСТВА""",РФЛС,rkls76@yandex.ru; 89108249820,rkls76@yandex.ru,89108249820,,26,29.03.2020,17.03.2020,полный,"почти полный, не везде видны номера.",Отчёт чёткий и аккуратный. Был ростомер! Призов на заднем фоне много) Розетки красивые. Фото небольшие (на зоопортале). ,,,300,,,,,,
14.03.2020,15.03.2020,"Национальная ""Победитель клуба года""",Москва,"РОО ЦЛЖ ""ЛИДЕР И ПРЕСТИЖ""",РФЛС,lider-prestig@yandex.ru; 89772782878,lider-prestig@yandex.ru,89772782878,,,05.04.2020,,полный,полный,,,,300,,,,,,
15.03.2020,15.03.2020,КЧК,Хабаровск,"ХКОЛЖ ""РЕГИОН ДВ""",РФСС,clubregiondv@yandex.ru; 84212313497,clubregiondv@yandex.ru,84212313497,"Малый шпиц с большим белым пятном на груди получил ЛПП. Фотография в отчете была, но в дальнейшем была удалена.",31,05.04.2020,25.03.2020,,,,,,300,,,,,,
21.03.2020,22.03.2020,КЧК,Санкт-Петербург,"КЛУБ ""КАС""",РФСС,5915684@mail.ru; 89218769004,5915684@mail.ru,89218769004,,,12.04.2020,,,,,,,,,,,,,
21.03.2020,22.03.2020,КЧК,Тобольск,"ТГОО КЛЖ ""НИКА""",РФЛС,klk_nika@mail.ru; 89129298021,klk_nika@mail.ru,89129298021,,18,12.04.2020,02.04.2020,полный,"полный, постарались, есть каждый участник, нет бэстов.","нет ведомости на №2 (средний) один в породе. Возможно случайно, т.к. продублирована др.ведомость.   Призовой фонд небогат - кубки и розетки (достойные) и спонсорские корма. Фото с бэстов нет.",,,300,,,,,,
21.03.2020,22.03.2020,КЧК,Санкт-Петербург,"КЛУБ ""КАС""",РФСС,5915684@mail.ru; 89218769004,5915684@mail.ru,89218769004,,,12.04.2020,,,,,,,,,,,,,
04.04.2020,05.04.2020,КЧК В КАЖДОМ КЛАССЕ,Санкт-Петербург,"СПБ РОО ""КК ""ЭЛИТА""",ОАНКОО,info@elita.org.ru; 88123260291,info@elita.org.ru,88123260291,,,26.04.2020,,,,перенос на 8.11.20,,,,,,,,,
18.04.2020,19.04.2020,КЧК,Тюмень,"ТРООЛФФ ""ВЕСТА""",ОАНКОО,"vesta-7@mail.ru; 89829044881, 89044954864",vesta-7@mail.ru," 89829044881, 89044954864",,,10.05.2020,,,,,,,,,,,,,
25.04.2020 перенос на 19-20.12.2020,26.04.2020 перенос на 19-20.12.2020,КЧК,Екатеринбург,"МОО ""ЕСТЦСС""",РФСС,estcss.rf@mail.ru; 89122492472,estcss.rf@mail.ru,89122492472,,,#VALUE!,,,,,,,,,,,,,
16.05.2020,16.05.2020,КЧК,Череповец,"ЧГОО ""ЧЕРЕПОВЕЦКИЙ КИНОЛОГИЧЕСКИЙ
ЦЕНТР ""АЛМАЗНАЯ КОРОНА""",РФСС,koroleva2003@bk.ru; 89210593761,koroleva2003@bk.ru,89210593761,,,06.06.2020,,,,,,,,,,,,,
16.05.2020,17.05.2020,Отмена,Москва,"МООКК ""БОМОНД""",РФЛС,"goldiki@narod.ru; 89629636050, 89266543210",goldiki@narod.ru," 89629636050, 89266543210",,,07.06.2020,,,,,,,,,,,,,
17.05.2020,17.05.2020,КЧК,Киров,"ОО ""КССКО""",РФСС,nat719@yandex.ru; 89635528667,nat719@yandex.ru,89635528667,,,07.06.2020,,,,,,,,,,,,,
23.05.2020,23.05.2020,КЧК,Мурманск,"ОО МОКЦ ""ДРУГ""",РФСС,"Murmansk-mops@mail.ru; 89212786074, 89113091466",Murmansk-mops@mail.ru," 89212786074, 89113091466",,,13.06.2020,,,,,,,,,,,,,
23.05.2020 перенос на 13.12.20,23.05.2020,КЧК,Чебоксары,"РОО ""ЧРКС""",РФСС,"crks@list.ru; 88352484833, 89033224833",crks@list.ru," 88352484833, 89033224833",,,13.06.2020,,,,,,,,,,,,,
23.05.2020,24.05.2020,КЧК,Тольятти,"ОО ""ТГОЛС""",РФЛС,pbishka@mail.ru; 89277866593,pbishka@mail.ru,89277866593,,,14.06.2020,,,,,,,,,,,,,
23.05.2020,24.05.2020,КЧК В КАЖДОМ КЛАССЕ,Омск,"РОО ""ОКПЦ ""ФАВОРИТ""",РФСС,favoritclub@yandex.ru; 89095376187,favoritclub@yandex.ru,89095376187,,,14.06.2020,,,,,,,,,,,,,
23.05.2020,24.05.2020,КЧК,Керчь,"КРОО ""КК ""ЛЮПУС""",РФЛС,LupusRKF@yandex.ru; 89780019131,LupusRKF@yandex.ru,89780019131,,,14.06.2020,,,,,,,,,,,,,
24.05.2020,24.05.2020,КЧК,Санкт-Петербург,"СПБРОО ""КЛУБ ЛЮБИТЕЛЕЙ СОБАК
""ГЛЭД""",РФСС,"klsglad@mail.ru; 89119900087, 89043363008",klsglad@mail.ru," 89119900087, 89043363008",,,14.06.2020,,,,,,,,,,,,,
30.05.2020,31.05.2020,КЧК,Сургут,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""РКФЦ ""ГРАНД+""",РФЛС,"kashmar60@mail.ru, alan-marina@mail.ru; 83462341344, 89526990094, 89199414686","kashmar60@mail.ru, alan-marina@mail.ru"," 83462341344, 89526990094, 89199414686",,,21.06.2020,,,,,,,,,,,,,
30.05.2020,31.05.2020,КЧК,Красноярск,"КРООЛЖ ""ХЕЛЕН`С ПРАУД""
(ГОРДОСТЬ ЕЛЕНЫ)",РФЛС,"HPD@mail.ru; 89130314432, 83912583442",HPD@mail.ru," 89130314432, 83912583442",,,21.06.2020,,,,,,,,,,,,,
30.05.2020,31.05.2020,КЧК,Архангельск,"МРОО КЛС ""СТАРАЯ ОХОТА""",ОАНКОО,"stohota@bk.ru; 89295214195, 89022862323",stohota@bk.ru," 89295214195, 89022862323",,,21.06.2020,,,,,,,,,,,,,
31.05.2020,31.05.2020,КЧК,Нижний Новгород,НООО ГС,ОАНКОО,mastino1@yandex.ru; 89027804115,mastino1@yandex.ru,89027804115,,,21.06.2020,,,,,,,,,,,,,
06.06.2020,06.06.2020,КЧК,Кемерово,"КОООЛС ""МИР-КЕННЕЛ""",РФОС,karavel61@yandex.ru; 89617021692,karavel61@yandex.ru,89617021692,,,27.06.2020,,,,,,,,,,,,,
06.06.2020,07.06.2020,КЧК,Санкт-Петербург,"СПОКО ""ВУДФАЛ""",РФСС,7549450@mail.ru; 89217918477,7549450@mail.ru,89217918477,,,28.06.2020,,,,,,,,,,,,,
06.06.2020,07.06.2020,Отмена,Нижний Новгород,"НОООЛЖ ""ФАУНА""",ОАНКОО,"olga-faunann@yandex.ru; 89063512443, 89648344752",olga-faunann@yandex.ru," 89063512443, 89648344752",,,28.06.2020,,,,,,,,,,,,,
07.06.2020,07.06.2020,КЧК,Иркутск,"ИГОО ""ГОЛС""",РФЛС,sobakovod@list.ru; 83952510497,sobakovod@list.ru,83952510497,,,28.06.2020,,,,,,,,,,,,,
13.06.2020,14.06.2020,КЧК,Владимир,"ВРОО ЛЮБИТЕЛЕЙ СОБАК ""АРИВА""",ОАНКОО,ariva-dog@mail.ru; 89607349813,ariva-dog@mail.ru,89607349813,,,05.07.2020,,,,,,,,,,,,,
13.06.2020,14.06.2020,КЧК,Челябинск,ЧРКОО,РФСС,"vit-bir1@mail.ru; 89128028814, 89514830460",vit-bir1@mail.ru," 89128028814, 89514830460",,,05.07.2020,,,,,,,,,,,,,
20.06.2020,21.06.2020,Отмена,Москва,"МОО ""ГЛОБУС ПЛЮС""",РФСС,globus-s@mail.ru; 89096579544,globus-s@mail.ru,89096579544,,,12.07.2020,,,,,,,,,,,,,
20.06.2020,21.06.2020,КЧК,Владивосток,КОРОЛЕВСКИЙ КЛУБ,РФЛС,rubicon4me@yahoo.com; 89147020826,rubicon4me@yahoo.com,89147020826,,,12.07.2020,,,,,,,,,,,,,
27.06.2020,28.06.2020,КЧК,Санкт-Петербург,"РОО КЛЖ ""АССАМБЛЕЯ""",РФОС,keha32@yandex.ru; 89211821514,keha32@yandex.ru,89211821514,,,19.07.2020,,,,,,,,,,,,,
11.07.2020,11.07.2020,КЧК,Краснодар,"КККК ""ФЛАГМАН""",,,,,"Все красиво, но мало собак",10,01.08.2020,27.07.2020,полный,полный,,,,300,,,,,,
11.07.2020,11.07.2020,КЧК В КАЖДОМ КЛАССЕ,Бийск,"БГОО "" КСИЛС """,РФЛС,"ksils@mail.ru; 83854302622, 89609389998",ksils@mail.ru," 83854302622, 89609389998",ПОДЕЛИЛИ ЦВЕРГОВ!,22,01.08.2020,27.07.2020,только каталог!,полный,"Нет ведомостей. Каталог размеченный, но без бэстов, неизвестно были ли они. Прислали ровно 22 фото по количеству участников, ни сравнений, ни бэстов.",,,300,,,,,,КЧК
11.07.2020,11.07.2020,КЧК,Бийск,"БГОО "" КСИЛС """,РФЛС,"ksils@mail.ru; 83854302622, 89609389998",ksils@mail.ru," 83854302622, 89609389998",ПОДЕЛИЛИ ЦВЕРГОВ!,19,01.08.2020,23.07.2020,только каталог!,нет,"Нет ведомостей. Каталог размеченный, но без бэстов, неизвестно были ли они. У цвергов состав участников разнится с первой выставкой.",,,300,,,,,,КЧК
18.07.2020,19.07.2020,КЧК,"КРАСНОДАРСКИЙ КРАЙ, НОВОРОССИЙСК","НГОО ""ОЛС""",,,,,Нет фооотчета,9,09.08.2020,10.08.2020,полный,нет,1,,,,,,,,,
18.07.2020,19.07.2020,КЧК В КАЖДОМ КЛАССЕ,"КРАСНОДАРСКИЙ КРАЙ, НОВОРОССИЙСК","ОО НГКЛЖ ""Фауна""",,,,,,16,09.08.2020,10.08.2020,полный,нет,,,,,,,,,,
19.07.2020,19.07.2020,КЧК В КАЖДОМ КЛАССЕ,Нижний Тагил,"СООО ""НИЖНЕТАГИЛЬСКИЙ КЛУБ
СЛУЖЕБНОГО СОБАКОВОДСТВА""",ОАНКОО,minimaks2006@rambler.ru; 89222280290,minimaks2006@rambler.ru,89222280290,Фотоотчет - сборная солянка,33,09.08.2020,01.08.2020,полный,"далеко не полный, номеров не видно.",,,,300,,,,,,КЧК
25.07.2020,25.07.2020,КЧК,Нерехта,"НГОО ""НГОЛС КАНИС""",РФЛС,canis.show@yandex.ru; 89092562759,canis.show@yandex.ru,89092562759,"Не согласовали перенос дат, не прислали фотоотчет
На сайте НКП выложены результаты монопородной Выставки шпицев города Нерехта 25 июля 2020 года.
Эксперт Никитина Людмила.
Организаторы не планировали проводить бесты монопородной Выставки и только после возмущения со стороны участников формально из провели.
Не было ни призов, ни расстановки на места, определялись только первые места указанием эксперта.
Бест ветеранов вообще не проводился.
На сайте опубликованы не корректные результаты BIS.
Лучший щенок выставки -цверг шпиц и отражено корректно.
Лучшая Собака Выставки - шпиц малый белый, отражено не корректно.
Лучший юниор Выставки - вольфшпиц, отражено не корректно.
",17,15.08.2020,05.08.2020,"неполный, нет ведомости на кеесов",нет,"Отзыв: Организаторы не планировали проводить бесты монопородной Выставки и только после возмущения со стороны участников формально их провели.
Не было ни призов, ни расстановки на места, определялись только первые места указанием эксперта.
Бест ветеранов вообще не проводился.
На сайте опубликованы не корректные результаты BIS.
Лучший щенок выставки -цверг шпиц и отражено корректно.
Лучшая Собака Выставки - шпиц малый белый, отражено не корректно.
Лучший юниор Выставки - вольфшпиц, отражено не корректно.
",,,300,,,,,,КЧК
25.07.2020,26.07.2020,КЧК,Екатеринбург,СКЦ,РФЛС,"koncepsion@mail.ru; 83433663685, 89292127455",koncepsion@mail.ru," 83433663685, 89292127455",эксперт Богданова З.,,16.08.2020,,,,,,,,,,,,,КЧК
25.07.2020 на 27.09.2020,26.07.2020,КЧК,Санкт-Петербург,"РОО ""КЛЖ ""СТАНДАРТ""",РФСС,"brucs@yandex.ru; 89117954200, 89112303513",brucs@yandex.ru," 89117954200, 89112303513",,,16.08.2020,,,,,,,,,,,,,КЧК
25.07.2020,26.07.2020,КЧК,Санкт-Петербург,"СПБ РОО ""ПКЦ ""ОЛИМП""",РФСС,"marunal@bk.ru; 88127456255, 89112749705, 89657544316",marunal@bk.ru," 88127456255, 89112749705, 89657544316",,,16.08.2020,,,,,,,,,,,,,КЧК
25.07.2020,26.07.2020,КЧК,Омск,"ОРОО КК ""ДАЙНА""",РФСС,orkk-dayna@narod.ru; 89069193198,orkk-dayna@narod.ru,89069193198,,,16.08.2020,,,,,,,,,,,,,КЧК
26.07.2020,26.07.2020,КЧК,Калининград,"КРКФОО ""ЗВЕЗДА ЗАПАДА-
КАЛИНИНГРАД""",ОАНКОО,"dogzapad@bk.ru; 84012522028, 8412611837",dogzapad@bk.ru," 84012522028, 8412611837","Не сообщили о втором переносе выставки, нет фотоотчетка",21,16.08.2020,18.08.2020,Частичный,нет,,,,,,,,,,
26.07.2020,26.07.2020,КЧК,Москва,"МКОО ""ДОГСВИЛЛ""",РФЛС,dogsvill@yandex.ru; 89255047124,dogsvill@yandex.ru,89255047124,"Не согласовали перенос дат, не прислали фотоотчет, ведомости",21,16.08.2020,06.08.2020,"Частичный, нет ведомостей",нет,"А призы красивые) и немного больше, чем стандартный набор.",,,,,,,,,КЧК
26.07.2020,26.07.2020,КЧК В КАЖДОМ КЛАССЕ,Нижний Новгород,"РОО ""НОКП""",РФЛС,nokp@zoomir-nn.ru; 88314397947,nokp@zoomir-nn.ru,88314397947,,,16.08.2020,,,,,,,,,,,,,КЧК
01.08.2020,02.08.2020,КЧК В КАЖДОМ КЛАССЕ,Екатеринбург,"ОКО ""С.К.Е.""",РФСС,"sodruzhestvo-kinologov@yandex.ru; 89220236763, 89222989785",sodruzhestvo-kinologov@yandex.ru," 89220236763, 89222989785",,33,23.08.2020,,Полный,"Полный, старались.",В ведомости не отмечен ВетКЧК. и №33 имеет юкчк (стоит отметка и кчк тоже)) Вопрос - малый №8 бело-кремовый выставлялся в группе оранж и др.!,,,,,,,,,КЧК в каждом классе
01.08.2020,02.08.2020,Отмена,Самара,"СРОО КС ""АЛЬФА""",РФСС,ot_svetlany@mail.ru; 89277359591,ot_svetlany@mail.ru,89277359591,,,23.08.2020,,,,,,,,,,,,,КЧК
02.08.2020,02.08.2020,КЧК В КАЖДОМ КЛАССЕ,Курган,"КООКО ""КУРГАН-ГРАД""",РФСС,"kurgan-grad@mail.ru; 89058539437, 83522555491",kurgan-grad@mail.ru," 89058539437, 83522555491",,35,23.08.2020,14.08),полный,"полный, каждый участник с номером!","№25 был переведён из цвергов в малые. На фото есть только главный бэст. Были ли бэсты бэби, щенков, юниоров, ветеранов?",,,,,,,,,
02.08.2020,02.08.2020,КЧК,Тольятти,"ОО ""ТКЦ ""ТРОЯН"" Г. ТОЛЬЯТТИ",ОАНКОО,"troyantlt@mail.ru; 89277852522, 89277835583",troyantlt@mail.ru," 89277852522, 89277835583",,,23.08.2020,,,,,,,,,,,,,КЧК
08.08.2020,09.08.2020,КЧК,Пермь,"ОО ""ПККСС""",РФСС,"delta2345@yandex.ru; 83422808613, 89082732239, 89082762149",delta2345@yandex.ru," 83422808613, 89082732239, 89082762149",Поделили цвергов!,23,30.08.2020,14.08.2020,полный,нет под предлогом закрытого мероприятия,"Каталог размечен подробно, есть отдельно ведомость бэстов. Ведомости частично залеплены корешками(",,,,,,,,,КЧК
22.08.2020,22.08.2020,КЧК В КАЖДОМ КЛАССЕ,Санкт-Петербург,"СПБ ОО ""КЛС ""НЕВСКИЙ БРИЗ""",РФСС,"nevskybreeze@mail.ru; 89213765770, 89219804955",nevskybreeze@mail.ru," 89213765770, 89219804955",,,12.09.2020,,,,,,,,,,,,,КЧК
22.08.2020,23.08.2020,КЧК,Воронеж,"ВООО ""КИНОЛОГ""",РФСС,"can111@yandex.ru; 84782707111, 89805477660",can111@yandex.ru," 84782707111, 89805477660",,,13.09.2020,,,,,,,,,,,,,КЧК
22.08.2020,22.08.2020,КЧК,Ковров,"КГОО ""КЛУБ ЛЮБИТЕЛЕЙ
ЖИВОТНЫХ""",ОАНКОО,seal082004@mail.ru; 89107796319,seal082004@mail.ru,89107796319,,18,12.09.2020,02.09.2020,полный,полный,,,,,,,,,,КЧК
22.08.2020,22.08.2020,КЧК,Новороссийск,"НГОО ""ОЛПС ""ГЛОРИЯ""",ОАНКОО,"olps_glory@mail.ru ; 89887691477, 88617211588",olps_glory@mail.ru ," 89887691477, 88617211588",,16,12.09.2020,03.09.2020,полный,полный,,,,,,,,,,КЧК
22.08.2020,22.08.2020,КЧК В КАЖДОМ КЛАССЕ,Новороссийск,"НГОО ""КК ""ЭЛИТА""",РФОС,"flyingbird2002@mail.ru; 88617211588, 88617210455",flyingbird2002@mail.ru," 88617211588, 88617210455",,19,12.09.2020,03.09.2020,полный,полный,,,,,,,,,,КЧК
22.08.2020,22.08.2020,КЧК,Магнитогорск,"МГОО ""МГКСС""",РФСС,"bay1946@yandex.ru, bay1946@mail.ru; 83519212871, 89068502205","bay1946@yandex.ru, bay1946@mail.ru"," 83519212871, 89068502205",,10,12.09.2020,02.09.2020,полный,нет,,,,,,,,,,КЧК в каждом классе
23.08.2020,23.08.2020,КЧК В КАЖДОМ КЛАССЕ,Москва,"МОО ОЛЖ ""ЛИГА’С""",ОАНКОО,"galinarom@bk.ru, info@ligasdog.ru; 89165519761","galinarom@bk.ru, info@ligasdog.ru",89165519761,,,13.09.2020,,,,"Призовой фонд скромный - кубки, розетки, корма только первым местам. Не награждались 2-4 места в расстановке вообще, даже на главном бэсте. BIS моно получил дополнительно гамак в машину)",,,,,,,,,КЧК
29.08.2020,29.08.2020,КЧК,Ставрополь,"ОО РКО СК ""АЛЬЯНС""",РФЛС,"dogstav@bk.ru; 89624034186, 88652555545, 88652741212",dogstav@bk.ru," 89624034186, 88652555545, 88652741212",,15,19.09.2020,09.09.2020,полный,полный,,,,,,,,,,
29.08.2020,29.08.2020,КЧК,Владимир,"ВРОО ЛЮБИТЕЛЕЙ СОБАК ""АРИВА""",ОАНКОО,ariva-dog@mail.ru; 89607349813,ariva-dog@mail.ru,89607349813,,,19.09.2020,,,,,,,,,,,,,КЧК
