breed,judge,number-show,name,dob,number-pedigree,sex,class,titles,certificate,date,club,city,rang
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,11,TSARITSA SARA ALUSHTA POM,10.05.2017,метрика,C,Б,"Б.П., CW",,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,12,ЖЕНЕВЬЕВА ФЛЁРС ДУ ТАУРИС,20.08.2016,РКФ 4675390,C,ЮН,ОТЛ. б/т,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,13,ЛУНА ФЛЁРС ДЕ ТАУРИС,21.11.2016,метрика,C,ЮН,ОЧ.ХОР.	,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,14,ФЕОФАНИЯ ЦАРСКАЯ ЗАБАВА,17.07.2016,метрика,C,ЮН,ОЧ.ХОР.	,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,15,КАМЧАТСКИЙ ДОМОВЁНОК ЕФАНИЯ,22.06.2016,метрика,С,ПРМ,ОЧ.ХОР.,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,16,YUKI ONO ZOLOTOY LEPRIKON,06.04.2014,"RKF 4385072, UKU.0197727	",С,ОТК,ОЧ.ХОР.,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,17,НИККИ ГОЛД ХАРТ,25.07.2014,РКФ 3978543	,С,ОТК,ОТЛ. б/т,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ МАЛЫЙ ШПИЦ (оранжевый, серый и др. окрасы)",ГАЧИНА ОКСАНА,18,IZYUMINKA S BUHTY APPOLONA,15.06.2017,метрика,С,Б,"Б.П., Л.Б.",,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ МАЛЫЙ ШПИЦ (оранжевый, серый и др. окрасы)",ГАЧИНА ОКСАНА,19,SHELBY FLEURS DE TAURIS,08.08.2016,RKF 4673524,С,ЮН,ОЧ.ХОР.,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
ВОЛЬФШПИЦ,ГАЧИНА ОКСАНА,20,DIVNYI DRUG GENTSKAYA KRASAVITSA,18.09.2016,RKF 4679154,С,ЮН,"отл, СW",ЮПК,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
